,tweet_id,created_datetime,content,author_id,place_id,location,longitude,latitude,county,label,sentiment
479,1.04E+18,9/14/18,ALSO BREAKING AND IN SAN FRANCISCO: there’s a giant polar bear on the Embarcadero https://t.co/Ej8ryApuGm,323248050,5a110d312052166f,"San Francisco, CA",-122.47957,37.766644,SAN FRANCISCO,1,neutral
480,1.04E+18,9/16/18,"@Brenter37 so what Tim, you hunt a bear with a rifle kill it and that’s a great accomplishment ? Animals have a right to live as much as u do. The world has changed, u should change with it. Try hand to hand (paw) next time, see how that works out for you.",19731118,6b55df049258bade,"Mission Viejo, CA",-117.61859,33.625427,ORANGE,1,joy
481,1.06E+18,11/11/18,Congrats!!  Yeah it’s a bear but you did the right thing. What’s next? https://t.co/zXu6j2pOXh,23323312,5a110d312052166f,"San Francisco, CA",-122.47957,37.766644,SAN FRANCISCO,1,neutral
484,1.09E+18,1/23/19,@tumbledorez @DigitalMayne They fight the bear and Baxter saves them,241470367,3b77caf94bfc81fe,"Los Angeles, CA",-118.36518,33.99941,LOS ANGELES,1,joy
485,1.01E+18,7/5/18,Yosemite Bear Facts June 17 To June 30 https://t.co/AE5xgTDMcH,30087621,fbd6d2f5a4e4a15e,"California, USA",-119.59471,37.74459,MARIPOSA,1,neutral
486,1.02E+18,7/14/18,@joerogan that’s a big bear https://t.co/LuV8bxXLUE,969204721,b71fac2ee9792cbe,"Sacramento, CA",-121.48253,38.592644,YOLO,1,neutral
487,1.03E+18,8/9/18,Mornings with bear tracks https://t.co/nkwLViTdhi,9.67E+17,0056a5ad3ac63b03,"South Lake Tahoe, CA",-119.98818,38.871613,EL DORADO,1,neutral
488,1.03E+18,8/11/18,"They sang ""Joji and his purple hair, walking down the street!"" Thank you McKenna for guiding our morning adventure! No photo of the bear cub encounter. @… https://t.co/OJm0WqOp7l",18149406,fbd6d2f5a4e4a15e,"California, USA",-116.919,34.0883,SAN BERNARDINO,1,joy
489,1.03E+18,8/23/18,@jakeholla BEAR 😂😭,374314199,a3c0ae863771d69e,"Oxnard, CA",-119.12084,34.188046,VENTURA,1,anger
490,1.04E+18,9/4/18,I wonder if this bear could beat #jackiechan https://t.co/ng8Cxkqn7m,731668958,1be23c0c0806b5e4,"Hillsborough, CA",-122.37016,37.588696,SAN MATEO,1,fear
491,1.04E+18,9/19/18,"As we were getting ready to disembark in Juneau, this Moose and Bear insisted on having a picture taken with us.... https://t.co/KxcwTjxtt4",2899014745,003253f0107acd32,"Dublin, CA",-121.91893,37.686764,CONTRA COSTA,1,neutral
493,5.26E+17,10/26/14,@TheDrugTribe hahaha that dude is fuckn nuts!!! And damn thats a dopest bear.,2153741076,fbd6d2f5a4e4a15e,"California, USA",-122.284294,38.32619,NAPA,1,anger
495,5.32E+17,11/11/14,Staring at this bear thinking what the fuck I'm gonna do with it.. http://t.co/2e87caM6qV,2194895041,0fc6568d145d84ac,"Lakewood, CA",-118.11653,33.83653,LOS ANGELES,1,anger
496,5.34E+17,11/16/14,SUCH A CUTE BEAR! 🐻☕️ @AndytownSF http://t.co/J3tgNMZY3w,87485735,5a110d312052166f,"San Francisco, CA",-122.501976,37.757,SAN FRANCISCO,1,joy
497,5.37E+17,11/25/14,"I wrestled a bear.

Gave em the Peoples Elbow",204618845,6f24e28976abe656,"Pomona, CA",-117.793396,34.063133,LOS ANGELES,1,neutral
498,5.21E+17,10/11/14,"This bear is hooge, bro. #foodstagram #420 @ HTC http://t.co/lHiV3Jb44o",14424667,3b77caf94bfc81fe,"Los Angeles, CA",-118.40354,34.17197,LOS ANGELES,1,joy
499,5.23E+17,10/17/14,Most of Northern California man's body eaten by black bear http://t.co/cdEPDhJjjm,10433782,7d62cffe6f98f349,"San Jose, CA",-121.90978,37.32701,SANTA CLARA,1,disgust
500,5.28E+17,10/31/14,@airmetric bear,2448094902,3b77caf94bfc81fe,"Los Angeles, CA",-118.58018,34.22118,LOS ANGELES,1,neutral
501,5.29E+17,11/1/14,.@tschmedding There is a @justinbieber ringtone...But did it save a man from a bear?! You have to be sure. Verify. #JAWS14 #jawsverify,327514058,012cf25774f836cd,"La Quinta, CA",-116.322556,33.680996,RIVERSIDE,1,fear
502,5.32E+17,11/9/14,@ScootyBruh there's a fucking polar bear,1115343726,7a9d1044bce5cd3b,"Avalon, CA",-118.33212,33.34032,LOS ANGELES,1,anger
503,5.40E+17,12/2/14,@sanfranmag @srabe that's a grizzly bear with eye shadow.,44430324,d98e7ce217ade2c5,"Stockton, CA",-121.356094,37.96436,SAN JOAQUIN,1,neutral
504,5.83E+16,4/13/11,A true Cal Bear http://sports.espn.go.com/ncaa/recruiting/football/news/story?id=6272961,56774718,5ef5b7f391e30aff,"Berkeley, CA",-122.264915,37.860676,CONTRA COSTA,1,neutral
505,5.88E+17,4/14/15,@robschwager I watched the White Bear last night! I did NOT see that coming!!,15966836,b0b79caecef59fb5,"Burbank, CA",-118.361435,34.17967,LOS ANGELES,1,surprise
506,5.88E+17,4/15/15,gets tackled by polar bear*,2360558918,fbd6d2f5a4e4a15e,"California, USA",-119.31103,37.250366,MADERA,1,neutral
507,5.89E+16,4/15/11,"That guy has balls! 40ft in the air, pushing a sleeping bear from behind trying to get him off the tree. I hope #thesoup picks up the story.",29634728,59612bd882018c51,"Santa Monica, CA",-118.47836,34.0373,LOS ANGELES,1,joy
508,5.91E+17,4/22/15,@GeneGalitz My first AK hunt. Black Bear. 20yrs ago.16y/o w my Dad. Kids are getting bigger. I see trips in future :) http://t.co/0GZvHfOIKC,2959537479,b0e7385b9c530ddc,"Poway, CA",-117.056,32.986225,SAN DIEGO,1,joy
509,5.91E+17,4/23/15,"Yea, but lucky for him he met a little bear who showed him how to do all those things, a bear he'd do anything for",816226483,f8f8ee516109ee0e,"Whittier, CA",-117.99756,33.95474,LOS ANGELES,1,neutral
510,6.15E+17,6/28/15,A bear... in the bar! @ Port  Coasta https://t.co/Yy9nGZ65zr,90987544,ccb1d10a24cf562a,"Benicia, CA",-122.1605,38.058098,SOLANO,1,joy
511,6.24E+17,7/23/15,"see a:
deer (insert Bambi) ☑️ rabbit 🐰☑️ bear🐻 ☑️",2198426161,59aa59a4f640381b,"Mammoth Lakes, CA",-118.967445,37.607735,MONO,1,neutral
512,6.26E+17,7/27/15,There's a bear lurking around the restaurant I'm at peace out everyone,1195373569,fbd6d2f5a4e4a15e,"California, USA",-119.31103,37.250366,MADERA,1,neutral
513,6.28E+17,8/3/15,Seen this big bear on the way back to camp tonight! http://t.co/OOMyamOh1N,62688517,07d9c9ea0ec80000,Gull Lake,-119.07867,37.788563,MONO,1,joy
514,6.53E+17,10/9/15,@kylehughess someone who is being attacked by a bear,2965083264,20ba6fb3b1ee82da,"Orange, CA",-117.82906,33.81007,ORANGE,1,fear
515,6.53E+17,10/11/15,"Day7-I woke up in the camp, we're I later meet 3 different guys ""There is a big bear 🐻 up here, but it's friendly""
 ""yes I heard some noise""",3354867418,3b77caf94bfc81fe,"Los Angeles, CA",-118.36518,33.99941,LOS ANGELES,1,fear
593,15143021304,6/1/10,@chuck_roast i did they were yummy and bear sightings were everywhere,21446779,8eccead85cc1b6c0,"Folsom, CA",-121.13912,38.68633,SACRAMENTO,1,joy
610,2.00E+17,5/9/12,"When someone dies of ""natural causes"" what does that mean? A bear attack could be a natural cause.",14536986,b0b79caecef59fb5,"Burbank, CA",-118.343666,34.15209,LOS ANGELES,1,neutral
625,3.22E+17,4/9/13,@TheEllenShow you should totally have Allena Hansen on your show. She survived a bear attack and drove to safety with her face hanging off.,560698623,3b77caf94bfc81fe,"Los Angeles, CA",-118.36518,33.99941,LOS ANGELES,1,sadness
626,3.30E+17,5/1/13,"Apparently, AAA covers my Jeep from bear attacks. I asked and they said yes. #actsofnature #camping",40332916,3b77caf94bfc81fe,"Los Angeles, CA",-118.27858,34.06157,LOS ANGELES,1,fear
635,3.66E+17,8/11/13,@JonTheDon4 u know nothin 'bout it but tnx. Keep the bear sightings coming,68730389,3058264e67ce2f0a,"Russian Hill, San Francisco",-122.42086,37.8023,SAN FRANCISCO,1,neutral
636,3.70E+17,8/20/13,You can bear-ly see a bear behind us. @ Circle Bar B Theatre http://t.co/vnbMmol7Yp,16826980,f6ebc676e5cde864,"Santa Barbara, CA",-119.72651,34.43493,SANTA BARBARA,1,fear
637,3.76E+17,9/7/13,Y does it look like a bear attacked my legzzzzz,100087961,c904ca419d4e53c6,"Redlands, CA",-117.162994,34.066006,SAN BERNARDINO,1,fear
649,4.28E+17,1/28/14,My sub just went on a 30 minute tangent about a bear attack. 🐻🌲,596090360,1994142e26ba7127,"Davis, CA",-121.7521,38.55699,YOLO,1,fear
653,4.52E+17,4/4/14,"@raygo3 and you didn't hit a garbage house and tell your parent a bear attacked your car, because you had a kiwi in the car😂",101554164,4bd282edff047215,"Truckee, CA",-120.2077,39.344067,PLACER,1,anger
658,4.62E+17,5/1/14,"@AllDisneyGirl @AmyBethCombs While I wouldn't be that surprised to see a bear in my backyard, I'm not sure how one could make it to NCSU.",33192951,0c2e6999105f8070,"Anaheim, CA",-117.93702,33.812084,ORANGE,1,surprise
659,4.63E+17,5/4/14,I've never seen a bear claw that big haha,1040320608,97290292acb29ff8,"Signal Hill, CA",-118.16889,33.80416,LOS ANGELES,1,disgust
660,4.64E+17,5/6/14,Forgot to upload this hiking pic with Fred when we got chased by a bear @ Big Bear Discovery Center http://t.co/rla7tZbYVV,20469720,fbd6d2f5a4e4a15e,"California, USA",-116.90465,34.263126,SAN BERNARDINO,1,fear
666,4.75E+17,6/6/14,"""Yeah, I think NASDAQ just saw a bear walk by."" ""NQ takin' a bit of a dive right now."" #AlMetale #MarketCastthinkorswimtdameritrade.",33278902,0799ff0a3c1006e9,"Los Alamitos, CA",-118.04498,33.813995,ORANGE,1,fear
672,4.91E+17,7/22/14,@BarzinAkhavan go back to your honeymoon!! I saw a bear in Yosemite. AND I got to see u guys get mawwied. One of the best wknds EVER,612038033,3b77caf94bfc81fe,"Los Angeles, CA",-118.28935,34.10931,LOS ANGELES,1,joy
674,4.96E+17,8/4/14,"My family keeps bitching about how they ""see a bear""",183327375,fbd6d2f5a4e4a15e,"California, USA",-116.8694,34.17461,SAN BERNARDINO,1,neutral
686,5.49E+17,12/28/14,"I saw a bear and it was pretty average sized tbh 🐻 @ Big Bear, CA http://t.co/YfpcPnITcA",376037133,17fe6350a3570c69,"Big Bear Lake, CA",-116.87473,34.254974,SAN BERNARDINO,1,neutral
695,5.81E+17,3/26/15,It's not every day you see a bear stuck in a tree on live TV. @News10_CA @timdaly52 #newslife http://t.co/l5P3vQdDig,28224505,6da7626e4e9e26ba,"Fairfield, CA",-121.96865,38.296467,SOLANO,1,fear
706,6.24E+17,7/21/15,"#ExplainEarthToSpaceAliens Mars is too cold, Venus is too hot, but Earth is juuuuuusst rig-- holy shit a bear!!",28062904,3b77caf94bfc81fe,"Los Angeles, CA",-118.36518,33.99941,LOS ANGELES,1,anger
708,6.26E+17,7/28/15,"@jaymohr37 
JJ I've learned to run horizontal when being chased by a bear... Bears are top heavy.... They'll fall over! #jaymohrsports",2753863633,2f97b9acb13ca665,"Costa Mesa, CA",-117.94091,33.63662,ORANGE,1,fear
710,6.28E+17,8/3/15,@wilskeezy yeah because of a sea bear attack,207723039,c2ad98c80a97adde,"El Monte, CA",-118.038284,34.08441,LOS ANGELES,1,fear
718,6.72E+17,12/1/15,Mom says uncle is crazy because he's already going hunting after recovering from the bear attack 😂,2859292335,fbd6d2f5a4e4a15e,"California, USA",-119.31103,37.250366,MADERA,1,neutral
719,6.79E+17,12/21/15,"Darby: ""Emma you have so many stories.. I have no exciting stories... I saw a bear once""",1077971708,689083f5b4e488b4,"Camarillo, CA",-119.012344,34.18716,VENTURA,1,sadness
725,6.91E+17,1/22/16,Is @RevenantMovie just about one bear attack?,369047820,b0b79caecef59fb5,"Burbank, CA",-118.361435,34.17967,LOS ANGELES,1,fear
729,1.01E+18,6/26/18,@renzobtd 🤣🤣. I drove the first one into the ground and I hit a bear with the second one.,156362304,8004d2bebcc13e8c,"Concord, CA",-122.03979,37.954693,CONTRA COSTA,1,fear
731,1.02E+18,7/11/18,"Hey @dongeronimoshow!! Please play ""Back Stabbers"" by The O'Jays for this poor man today? It hit #3 in October of 1972 #DGMR #EarthsMightiestHits Park ranger survives gruesome grizzly bear attack https://t.co/o1sO4I2Hb6 via @nypost",61370039,0941c439c73f4f7b,"Dixon, CA",-121.82286,38.408047,SOLANO,1,fear
758,1.14E+18,6/23/19,"@FilthyTomLawlor @WalterAUT @JoshLBarnett @FilthyTomLawlor vs @WalterAUT from @JoshLBarnett #Bloodsport. Member, that match was exactly what you wanted from it. Lawlor, with a Snapped Forearm in 2 places, 5 weeks prior attempting to fight off a grizzly bear attack. It’s crazy how much great shit we get on a weekly basis",39237420,5a9de3ff3fdd849d,"Santa Rosa, CA",-122.62832,38.4832,SONOMA,1,joy
765,1.17E+18,8/30/19,And then a fucking bear attack’s.... I’m down. I’ll fight that puto till the end.. https://t.co/RIQIcEGHlO,862518822,a3c0ae863771d69e,"Oxnard, CA",-119.12084,34.188046,VENTURA,1,anger
773,1.19E+18,10/25/19,"Circus bear attacks trainer after being forced to push wheelbarrow like human

The animal pounced on the trainer and while his partner desperately kicked the bear in a bid to stop it. Children sitting only a few feet away - with no protective barrier - are heard screaming. https://t.co/TaKFLsfTiS",2439092689,e6fc035b8939bd3b,"Arcadia, CA",-118.03603,34.174534,LOS ANGELES,1,disgust
782,1.21E+18,1/6/20,"Tahoe’s bear lovers have been doxxing people before “doxxing” even had a name. @ayoonhendricks and I break down the latest case. We also unearthed, using public records, some scary bear attacks in the region. Luckily no one’s gotten killed yet https://t.co/I5ufsIlaR0",573775393,013214de57b4da2e,"Antelope, CA",-121.36926,38.68395,SACRAMENTO,1,fear
785,1.22E+18,1/22/20,"Simple I asked God if I could see a bear.. I didnt go look for it..the next night my summertime roommates &amp; I went to the lake.. I sang a specific song &amp; a baby bear climbed up the tree above me..we were in the dark.
Wow that timing is perfection#yhwh https://t.co/Irg40LJwZ2",23731830,3b77caf94bfc81fe,"Los Angeles, CA",-118.36518,33.99941,LOS ANGELES,1,joy
809,1.30E+18,9/3/20,"We had a visit from Yogi tonight. Very surreal to see a bear wandering around your back yard. #bearsofinstagram #holyshititsabear @ Pasadena, California https://t.co/pbupYU5TZp",49170768,10de09f288b1665c,"Pasadena, CA",-118.1488,34.1467,LOS ANGELES,1,fear
810,1.31E+18,9/13/20,Jungle drama: Herd of buffaloes saves village boy from bear attack in Madhya Pradesh's Betul | Bhopal News - Times of India https://t.co/DRCKuT9Gz6 @DannyGradio #AnimalThunderdome @Outkick,108331345,575c6d4e1b73546d,"Calabasas, CA",-118.68838,34.093746,LOS ANGELES,1,joy
811,1.32E+18,10/28/20,Hey @bikeshopgirlcom have a seat issue. Since bear attacked the bike.  My bike my seat will twist while riding. So awful. But I have tighten it as much as I feel I can. Do you have a suggestion? I'm starting to lose my mind,359644433,0056a5ad3ac63b03,"South Lake Tahoe, CA",-119.98818,38.871613,EL DORADO,1,sadness
822,1.40E+18,5/21/21,Another bear sighting on the outdoor patio @ Little Bear Bar https://t.co/EI22uXxji4,408287699,3b77caf94bfc81fe,"Los Angeles, CA",-118.23281,34.03585,LOS ANGELES,1,neutral
825,1.40E+18,5/30/21,More strange bear sightings on the patio #whatkindofbearisthis @ Little Bear Bar https://t.co/14xHCG56cK,408287699,3b77caf94bfc81fe,"Los Angeles, CA",-118.23281,34.03585,LOS ANGELES,1,fear
826,1.41E+18,6/22/21,I see a bear with a glowing nose like Muthafucking Rodolfo the bright nose reindeer,1455092406,fbd6d2f5a4e4a15e,"California, USA",-119.31103,37.250366,MADERA,1,disgust
830,1.43E+18,8/25/21,@RonFilipkowski Had bear spray because all the recent bear attacks in DC.,47755381,f95304ef80fecc3f,"Temecula, CA",-117.083496,33.522667,RIVERSIDE,1,fear
834,1.45E+18,10/22/21,"@modbee 2 days. Never seen a bear in that state, so she kills it. WTF!!  I guess she didn’t want anyone else to see a bear there either. What a turd.",203671690,e41805d7248dbf1e,"Modesto, CA",-121.01055,37.697884,STANISLAUS,1,surprise
841,1.52E+18,4/22/22,@sydneyesbrown I started training by running only uphill. Very slowly. I’m up to 6 miles now. And I wouldn’t have run even if I was being chased by a bear like 5 months ago.,1.34E+18,fbd6d2f5a4e4a15e,"California, USA",-119.31103,37.250366,MADERA,1,fear
846,1.56E+18,8/7/22,#lakedays are always good ideas until you see a bear! Yep that happened. Head is cleared. Onto the next big adventure. #solotraveler #norcal #lakealmanor @ Lake Almanor https://t.co/47Nxq9LGyh,18561685,fbd6d2f5a4e4a15e,"California, USA",-121.16028,40.252777,PLUMAS,1,joy
850,1.57E+18,9/9/22,@larry_28_369 @TommoApril It was definitely them. I saw Louis live on TV doing an interview in 2015 &amp; saw a bear sticking out behind him. We also had a picture of Harry carrying a duffle bag with a bear slightly hanging out.,604223821,30344aecffe6a491,"Fremont, CA",-122.0276,37.50502,SANTA CLARA,1,fear
851,1.58E+18,10/3/22,Fun day at the Natural History Museum… except for the polar bear attack! https://t.co/cvhGTBZTf1,20813338,07d9c92f86481002,Natural History Museum of Los Angeles County,-118.25696,33.997803,LOS ANGELES,1,joy
854,1.58E+18,10/24/22,Very big bear sighting 🐻,1.26E+18,fbd6d2f5a4e4a15e,"California, USA",-119.31103,37.250366,MADERA,1,fear
856,1.60E+18,12/8/22,you're getting put on a t-shirt if this bear attacks you lmao they catch fades with tigers https://t.co/g1L4VPAJCn,1964725172,7d2aec133a24b554,"Paramount, CA",-118.15085,33.905952,LOS ANGELES,1,neutral
